Date,process-name,Name,time,ip,city,loc
2021-02-14 00:00:06.352946,● app.py - team-eureka - Visual Studio Code,"code, Code",1257322,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:01:06.798137,Document - Brave,"brave-browser, Brave-browser",1314657,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:02:06.172737,track-activity.py - team-eureka - Visual Studio Code,"code, Code",1369362,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:03:06.560769,● script.py - team-eureka - Visual Studio Code,"code, Code",1435697,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:04:06.944834,GET and POST requests using Python - GeeksforGeeks - Brave,"brave-browser, Brave-browser",1497933,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:05:06.882824,script.py - team-eureka - Visual Studio Code,"code, Code",1557391,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:06:06.361306,demo-02-13-2021.csv - team-eureka - Visual Studio Code,"code, Code",1597381,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:07:06.881275,● script.py - team-eureka - Visual Studio Code,"code, Code",1677107,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:08:06.341153,db,"org.gnome.Nautilus, Org.gnome.Nautilus",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:09:06.875972,DB Browser for SQLite - /home/nishit/Documents/dev/team-eureka/flask/db/database.db,"sqlitebrowser, DB Browser for SQLite",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:10:06.390126,● track-activity.py - team-eureka - Visual Studio Code,"code, Code",1856326,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:11:06.852978,● track-activity.py - team-eureka - Visual Studio Code,"code, Code",1917207,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:12:06.365131,405 Method Not Allowed - Brave,"brave-browser, Brave-browser",1975337,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:13:06.852436,● track-activity.py - team-eureka - Visual Studio Code,"code, Code",2037755,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:14:06.398840,● track-activity.py - team-eureka - Visual Studio Code,"code, Code",2094131,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:15:06.881813,track-activity.py - team-eureka - Visual Studio Code,"code, Code",2157090,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:16:06.395213,#general - Discord,"discord, discord",2214705,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:17:06.877143,track-activity.py - team-eureka - Visual Studio Code,"code, Code",2260096,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:18:06.329300,app.py - team-eureka - Visual Studio Code,"code, Code",2319560,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:19:06.585029,script.py - team-eureka - Visual Studio Code,"code, Code",2392518,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:20:07.089689,urllib3.exceptions.LocationParseError: Failed to parse: https://c6d95e6f48e0.ngrok.io/add/data - Google Search - Brave,"brave-browser, Brave-browser",2455781,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:21:06.564035,python - How to send POST request? - Stack Overflow - Brave,"brave-browser, Brave-browser",2494571,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:22:07.020883,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:23:06.496653,urllib3.exceptions.LocationParseError: Failed to parse · Issue #5476 · psf/requests - Brave,"brave-browser, Brave-browser",2630885,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:24:07.033015,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:25:06.541074,JSONPlaceholder - Free Fake REST API - Brave,"brave-browser, Brave-browser",2756891,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:26:07.039697,python - FLASK Restful API not able to add using PUT - Stack Overflow - Brave,"brave-browser, Brave-browser",2812329,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:27:06.479181,Airmeet: S.P.I.T. Hackathon 2021 - Brave,"brave-browser, Brave-browser",2875607,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:28:07.035375,#spit-hack-gitlab - Discord,"discord, discord",2922094,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:29:06.546529,Airmeet: S.P.I.T. Hackathon 2021 - Brave,"brave-browser, Brave-browser",2981450,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:30:06.969997,Airmeet: S.P.I.T. Hackathon 2021 - Brave,"brave-browser, Brave-browser",3016363,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:31:06.516800,Airmeet: S.P.I.T. Hackathon 2021 - Brave,"brave-browser, Brave-browser",3112323,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:33:06.640560,Airmeet - Brave,"brave-browser, Brave-browser",58983,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:34:07.090449,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",117064,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:35:06.527739,#spit-hack-gitlab - Discord,"discord, discord",182303,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:36:06.838440,app.py - team-eureka - Visual Studio Code,"code, Code",245581,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:37:06.284150,post data to the flask server - Google Search - Brave,"brave-browser, Brave-browser",307180,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:38:06.719995,Python 3 Flask - how to send data to server? - Stack Overflow - Brave,"brave-browser, Brave-browser",365070,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:39:06.144478,javascript - How to pass data from React Form -> Flask Backend -> React Component (does it have something to do with CORS)? - Stack Overflow - Brave,"brave-browser, Brave-browser",411081,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:40:06.576739,nishit@nishit: ~/Documents/dev,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:41:07.016318,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:42:06.457161,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:43:06.905258,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:44:06.344795,● track-activity.py - team-eureka - Visual Studio Code,"code, Code",727606,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:45:06.768393,● track-activity.py - team-eureka - Visual Studio Code,"code, Code",785727,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:46:06.240037,#general - Discord,"discord, discord",847753,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:47:06.725034,Post Multipart Form Data in Python with Requests: Flask File Upload Example | Techiediaries - Brave,"brave-browser, Brave-browser",907036,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:48:06.973178,How to Handle requests.exceptions.InvalidURL: Failed to parse in python? - Stack Overflow - Brave,"brave-browser, Brave-browser",964235,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:49:06.413004,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:50:06.168047,team-eureka,"org.gnome.Nautilus, Org.gnome.Nautilus",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:51:06.610936,Downloads,"org.gnome.Nautilus, Org.gnome.Nautilus",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:52:07.081755,DB Browser for SQLite - /home/nishit/Documents/dev/team-eureka/flask/db/database.db,"sqlitebrowser, DB Browser for SQLite",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:53:06.510340,● track-activity.py - team-eureka - Visual Studio Code,"code, Code",1267786,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:54:06.935978,track-activity.py - team-eureka - Visual Studio Code,"code, Code",1323026,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:55:06.361781,track-activity.py - team-eureka - Visual Studio Code,"code, Code",1387873,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:56:06.798352,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:57:06.229002,app.py - team-eureka - Visual Studio Code,"code, Code",1507705,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:58:06.672297,app.py - team-eureka - Visual Studio Code,"code, Code",1567816,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 00:59:07.115057,track-activity.py - team-eureka - Visual Studio Code,"code, Code",1622085,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:00:06.560928,app.py - team-eureka - Visual Studio Code,"code, Code",1682299,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:01:06.988446,app.py - team-eureka - Visual Studio Code,"code, Code",1745750,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:02:06.422024,app.py - team-eureka - Visual Studio Code,"code, Code",1806821,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:03:06.877413,● track-activity.py - team-eureka - Visual Studio Code,"code, Code",1868425,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:04:06.324838,track-activity.py - team-eureka - Visual Studio Code,"code, Code",1925933,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:05:06.758240,track-activity.py - team-eureka - Visual Studio Code,"code, Code",1983420,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:06:06.215922,● app.py - team-eureka - Visual Studio Code,"code, Code",2045313,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:07:06.631113,● app.py - team-eureka - Visual Studio Code,"code, Code",2106404,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:08:07.055655,app.py - team-eureka - Visual Studio Code,"code, Code",2168139,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:09:06.543979,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:10:06.980777,● app.py - team-eureka - Visual Studio Code,"code, Code",2288321,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:11:06.423002,app.py - team-eureka - Visual Studio Code,"code, Code",2342778,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:12:06.149177,app.py - team-eureka - Visual Studio Code,"code, Code",2406787,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:13:06.594218,app.py - team-eureka - Visual Studio Code,"code, Code",2467786,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:14:07.033845,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",2525982,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:15:06.640281,track-activity.py - team-eureka - Visual Studio Code,"code, Code",2588100,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:16:07.061907,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",2645694,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:17:06.844389,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",2704739,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:19:06.287839,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:20:06.747626,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",2833298,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:21:06.997472,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",2948438,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:33:06.700523,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",3665003,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-14 01:33:06.700520,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",3665003,219.90.100.25,Mumbai,"19.0728,72.8826"
